Severity	Code	Description	Project	File	Line	Suppression State	Details
Error (active)	CS1061	'IUnitofWorksManager' does not contain a definition for 'GetDirtyBlocks' and no accessible extension method 'GetDirtyBlocks' accepting a first argument of type 'IUnitofWorksManager' could be found (are you missing a using directive or an assembly reference?)	DataManagementEngine (net10.0), DataManagementEngine (net8.0), DataManagementEngine (net9.0)	C:\Users\f_ald\source\repos\The-Tech-Idea\BeepDM\DataManagementEngineStandard\Editor\Forms\Hosts\BeepFormsHostBridge.cs	215		
Error (active)	CS0535	'FormsManager' does not implement interface member 'IUnitofWorksManager.ShouldSynchronizeDetailOnFieldChange(string, string)'	DataManagementEngine (net10.0), DataManagementEngine (net8.0), DataManagementEngine (net9.0)	C:\Users\f_ald\source\repos\The-Tech-Idea\BeepDM\DataManagementEngineStandard\Editor\Forms\FormsManager.Core.cs	24		
Error (active)	CS1061	'IUnitofWork' does not contain a definition for 'CurrentIndex' and no accessible extension method 'CurrentIndex' accepting a first argument of type 'IUnitofWork' could be found (are you missing a using directive or an assembly reference?)	DataManagementEngine (net10.0), DataManagementEngine (net8.0), DataManagementEngine (net9.0)	C:\Users\f_ald\source\repos\The-Tech-Idea\BeepDM\DataManagementEngineStandard\Editor\Forms\Helpers\ViewStateSyncer.cs	43		
Error (active)	CS1061	'IUnitofWork' does not contain a definition for 'Count' and no accessible extension method 'Count' accepting a first argument of type 'IUnitofWork' could be found (are you missing a using directive or an assembly reference?)	DataManagementEngine (net10.0), DataManagementEngine (net8.0), DataManagementEngine (net9.0)	C:\Users\f_ald\source\repos\The-Tech-Idea\BeepDM\DataManagementEngineStandard\Editor\Forms\Helpers\ViewStateSyncer.cs	43		
Error (active)	CS1061	'IUnitofWorksManager' does not contain a definition for 'EnteringQueryModeAsync' and no accessible extension method 'EnteringQueryModeAsync' accepting a first argument of type 'IUnitofWorksManager' could be found (are you missing a using directive or an assembly reference?)	DataManagementEngine (net10.0), DataManagementEngine (net8.0), DataManagementEngine (net9.0)	C:\Users\f_ald\source\repos\The-Tech-Idea\BeepDM\DataManagementEngineStandard\Editor\Forms\Hosts\BeepFormsHostBridge.cs	191		
Error (active)	CS1061	'IUnitofWorksManager' does not contain a definition for 'ExitingQueryModeAsync' and no accessible extension method 'ExitingQueryModeAsync' accepting a first argument of type 'IUnitofWorksManager' could be found (are you missing a using directive or an assembly reference?)	DataManagementEngine (net10.0), DataManagementEngine (net8.0), DataManagementEngine (net9.0)	C:\Users\f_ald\source\repos\The-Tech-Idea\BeepDM\DataManagementEngineStandard\Editor\Forms\Hosts\BeepFormsHostBridge.cs	194		
Error (active)	CS7036	There is no argument given that corresponds to the required parameter 'recordIndex' of 'ILockManager.GetLockInfo(string, int)'	DataManagementEngine (net10.0), DataManagementEngine (net8.0), DataManagementEngine (net9.0)	C:\Users\f_ald\source\repos\The-Tech-Idea\BeepDM\DataManagementEngineStandard\Editor\Forms\Hosts\BeepFormsHostBridge.cs	209		
Error (active)	CS1061	'IUnitofWorksManager' does not contain a definition for 'SaveDirtyBlocksAsync' and no accessible extension method 'SaveDirtyBlocksAsync' accepting a first argument of type 'IUnitofWorksManager' could be found (are you missing a using directive or an assembly reference?)	DataManagementEngine (net10.0), DataManagementEngine (net8.0), DataManagementEngine (net9.0)	C:\Users\f_ald\source\repos\The-Tech-Idea\BeepDM\DataManagementEngineStandard\Editor\Forms\Hosts\BeepFormsHostBridge.cs	216		
Error (active)	CS1061	'IUnitofWorksManager' does not contain a definition for 'RollbackDirtyBlocksAsync' and no accessible extension method 'RollbackDirtyBlocksAsync' accepting a first argument of type 'IUnitofWorksManager' could be found (are you missing a using directive or an assembly reference?)	DataManagementEngine (net10.0), DataManagementEngine (net8.0), DataManagementEngine (net9.0)	C:\Users\f_ald\source\repos\The-Tech-Idea\BeepDM\DataManagementEngineStandard\Editor\Forms\Hosts\BeepFormsHostBridge.cs	217		
