TableName,FieldName,Position
BUSINESS_ASSOCIATE,BUSINESS_ASSOCIATE,1
CAT_ADDITIVE,CATALOGUE_ADDITIVE_ID,1
CAT_ADDITIVE_ALIAS,CATALOGUE_ADDITIVE_ID,1
CAT_ADDITIVE_ALIAS,CAT_ADDITIVE_ALIAS_ID,2
CAT_ADDITIVE_SPEC,CATALOGUE_ADDITIVE_ID,1
CAT_ADDITIVE_SPEC,SPEC_ID,2
CAT_ADDITIVE_TYPE,ADDITIVE_TYPE,1
CAT_ADDITIVE_XREF,CATALOGUE_ADDITIVE_ID,1
CAT_ADDITIVE_XREF,CATALOGUE_ADDITIVE_ID2,2
CAT_ADDITIVE_XREF,XREF_OBS_NO,3
CAT_EQUIPMENT,CATALOGUE_EQUIP_ID,1
CAT_EQUIP_ALIAS,CATALOGUE_EQUIP_ID,1
CAT_EQUIP_ALIAS,CAT_EQUIP_ALIAS_ID,2
CAT_EQUIP_SPEC,CATALOGUE_EQUIP_ID,1
CAT_EQUIP_SPEC,SPEC_ID,2
CLASS_LEVEL,CLASSIFICATION_SYSTEM_ID,1
CLASS_LEVEL,CLASS_LEVEL_ID,2
CLASS_LEVEL_ALIAS,CLASSIFICATION_SYSTEM_ID,1
CLASS_LEVEL_ALIAS,CLASS_LEVEL_ID,2
CLASS_LEVEL_ALIAS,CLASS_LEVEL_ALIAS_ID,3
CLASS_LEVEL_COMPONENT,CLASSIFICATION_SYSTEM_ID,1
CLASS_LEVEL_COMPONENT,CLASS_LEVEL_ID,2
CLASS_LEVEL_COMPONENT,COMPONENT_OBS_NO,3
CLASS_LEVEL_DESC,CLASSIFICATION_SYSTEM_ID,1
CLASS_LEVEL_DESC,CLASS_LEVEL_ID,2
CLASS_LEVEL_DESC,DESC_OBS_NO,3
CLASS_LEVEL_TYPE,CLASSIFICATION_SYSTEM_ID,1
CLASS_LEVEL_TYPE,LEVEL_TYPE,2
CLASS_LEVEL_XREF,CLASSIFICATION_SYSTEM_ID,1
CLASS_LEVEL_XREF,CLASS_LEVEL_ID,2
CLASS_LEVEL_XREF,CLASSIFICATION_SYSTEM_ID2,3
CLASS_LEVEL_XREF,CLASS_LEVEL_ID2,4
CLASS_LEVEL_XREF,XREF_ID,5
CLASS_SYSTEM,CLASSIFICATION_SYSTEM_ID,1
CLASS_SYSTEM_ALIAS,CLASSIFICATION_SYSTEM_ID,1
CLASS_SYSTEM_ALIAS,CLASS_SYSTEM_ALIAS_ID,2
CLASS_SYSTEM_XREF,CLASSIFICATION_SYSTEM_ID,1
CLASS_SYSTEM_XREF,CLASSIFICATION_SYSTEM_ID2,2
CLASS_SYSTEM_XREF,EQUIV_ID,3
CONSENT,CONSENT_ID,1
CONSENT_BA,CONSENT_ID,1
CONSENT_BA,CONSENT_BA_OBS_NO,2
CONSENT_COMPONENT,CONSENT_ID,1
CONSENT_COMPONENT,COMPONENT_ID,2
CONSENT_COND,CONSENT_ID,1
CONSENT_COND,CONDITION_ID,2
CONSENT_REMARK,CONSENT_ID,1
CONSENT_REMARK,REMARK_ID,2
CONSULT,CONSULT_ID,1
CONSULT_BA,CONSULT_ID,1
CONSULT_BA,BUSINESS_ASSOCIATE,2
CONSULT_COMPONENT,CONSULT_ID,1
CONSULT_COMPONENT,COMPONENT_ID,2
CONSULT_DISC,CONSULT_ID,1
CONSULT_DISC,DISCUSSION_ID,2
CONSULT_DISC_BA,CONSULT_ID,1
CONSULT_DISC_BA,DISCUSSION_ID,2
CONSULT_DISC_BA,BUSINESS_ASSOCIATE,3
CONSULT_DISC_ISSUE,CONSULT_ID,1
CONSULT_DISC_ISSUE,DISCUSSION_ID,2
CONSULT_DISC_ISSUE,DETAIL_ID,3
CONSULT_ISSUE,CONSULT_ID,1
CONSULT_ISSUE,DETAIL_ID,2
CONSULT_XREF,CONSULT_ID,1
CONSULT_XREF,CONSULT_ID2,2
CONTEST,CONTEST_ID,1
CONTEST_COMPONENT,CONTEST_ID,1
