OWNER,TABLE_NAME,COLUMN_NAME,POSITION,R_OWNER,R_TABLE_NAME,R_COLUMN_NAME,CONSTRAINT_NAME,DELETE_RULE
PPDM,APPLICATION_COMPONENT,INTEREST_SET_ID,1,PPDM,INTEREST_SET,INTEREST_SET_ID,APPC_INT_FK,NO ACTION
PPDM,APPLICATION_COMPONENT,INSTRUMENT_ID,1,PPDM,INSTRUMENT,INSTRUMENT_ID,APPC_INS_FK,NO ACTION
PPDM,APPLICATION_COMPONENT,INCIDENT_ID,1,PPDM,HSE_INCIDENT,INCIDENT_ID,APPC_HI_FK,NO ACTION
PPDM,APPLICATION_COMPONENT,FOSSIL_ID,1,PPDM,FOSSIL,FOSSIL_ID,APPC_FOS_FK,NO ACTION
PPDM,APPLICATION_COMPONENT,FIELD_ID,1,PPDM,FIELD,FIELD_ID,APPC_FLD_FK,NO ACTION
PPDM,APPLICATION_COMPONENT,FINANCE_ID,1,PPDM,FINANCE,FINANCE_ID,APPC_FIN_FK,NO ACTION
PPDM,APPLICATION_COMPONENT,FACILITY_TYPE,2,PPDM,FACILITY,FACILITY_TYPE,APPC_FAC_FK,NO ACTION
PPDM,APPLICATION_COMPONENT,FACILITY_ID,1,PPDM,FACILITY,FACILITY_ID,APPC_FAC_FK,NO ACTION
PPDM,APPLICATION_COMPONENT,ECOZONE_ID,1,PPDM,ECOZONE,ECOZONE_ID,APPC_EZ_FK,NO ACTION
PPDM,APPLICATION_COMPONENT,EQUIPMENT_ID,1,PPDM,EQUIPMENT,EQUIPMENT_ID,APPC_EQ_FK,NO ACTION
PPDM,APPLICATION_COMPONENT,APPLICATION_COMPONENT_TYPE,1,PPDM,R_APPLICATION_COMP_TYPE,APPLICATION_COMPONENT_TYPE,APPC_R_APPCT_FK,NO ACTION
PPDM,APPLICATION_COMPONENT,RESENT_ID,1,PPDM,RESERVE_ENTITY,RESENT_ID,APPC_RSE_FK,NO ACTION
PPDM,APPLICATION_COMPONENT,THESAURUS_WORD_ID,2,PPDM,RM_THESAURUS_WORD,THESAURUS_WORD_ID,APPC_RMTW_FK,NO ACTION
PPDM,APPLICATION_COMPONENT,THESAURUS_ID,1,PPDM,RM_THESAURUS_WORD,THESAURUS_ID,APPC_RMTW_FK,NO ACTION
PPDM,APPLICATION_COMPONENT,PHYSICAL_ITEM_ID,1,PPDM,RM_PHYSICAL_ITEM,PHYSICAL_ITEM_ID,APPC_RMPI_FK,NO ACTION
PPDM,APPLICATION_COMPONENT,INFO_ITEM_TYPE,2,PPDM,RM_INFORMATION_ITEM,INFO_ITEM_TYPE,APPC_RMII_FK,NO ACTION
PPDM,APPLICATION_COMPONENT,INFORMATION_ITEM_ID,1,PPDM,RM_INFORMATION_ITEM,INFORMATION_ITEM_ID,APPC_RMII_FK,NO ACTION
PPDM,APPLICATION_COMPONENT,PRODUCT_TYPE,1,PPDM,PRODUCT,PRODUCT_TYPE,APPC_PROD_FK,NO ACTION
PPDM,APPLICATION_COMPONENT,POOL_ID,1,PPDM,POOL,POOL_ID,APPC_PL_FK,NO ACTION
PPDM,APPLICATION_COMPONENT,PDEN_TYPE,2,PPDM,PDEN,PDEN_TYPE,APPC_PDE_FK,NO ACTION
PPDM,APPLICATION_COMPONENT,PDEN_SOURCE,3,PPDM,PDEN,SOURCE,APPC_PDE_FK,NO ACTION
PPDM,APPLICATION_COMPONENT,PDEN_ID,1,PPDM,PDEN,PDEN_ID,APPC_PDE_FK,NO ACTION
PPDM,APPLICATION_COMPONENT,PALEO_SUMMARY_ID,1,PPDM,PALEO_SUMMARY,PALEO_SUMMARY_ID,APPC_PASU_FK,NO ACTION
PPDM,APPLICATION_COMPONENT,OBLIGATION_SEQ_NO,2,PPDM,OBLIGATION,OBLIGATION_SEQ_NO,APPC_OB_FK,NO ACTION
PPDM,APPLICATION_COMPONENT,OBLIGATION_ID,1,PPDM,OBLIGATION,OBLIGATION_ID,APPC_OB_FK,NO ACTION
PPDM,APPLICATION_COMPONENT,NOTIFICATION_ID,1,PPDM,NOTIFICATION,NOTIFICATION_ID,APPC_NOTI_FK,NO ACTION
PPDM,APPLICATION_COMPONENT,LAND_SALE_NUMBER,2,PPDM,LAND_SALE,LAND_SALE_NUMBER,APPC_LS_FK,NO ACTION
PPDM,APPLICATION_COMPONENT,JURISDICTION,1,PPDM,LAND_SALE,JURISDICTION,APPC_LS_FK,NO ACTION
PPDM,APPLICATION_COMPONENT,LAND_RIGHT_TYPE,2,PPDM,LAND_RIGHT,LAND_RIGHT_TYPE,APPC_LR_FK,NO ACTION
PPDM,APPLICATION_COMPONENT,LAND_RIGHT_ID,1,PPDM,LAND_RIGHT,LAND_RIGHT_ID,APPC_LR_FK,NO ACTION
