id,TABLE_NAME,COLUMN_NAME,SOURCETABLENAME,SOURCECOLUMNNAME
308,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_PDEN_STATUS_TYPE,ROW_QUALITY
309,R_SOURCE,SOURCE,R_PPDM_AUDIT_REASON,SOURCE
310,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_PPDM_AUDIT_TYPE,ROW_QUALITY
311,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_PPDM_BOOLEAN_RULE,ROW_QUALITY
312,R_SOURCE,SOURCE,R_PPDM_FAIL_RESULT,SOURCE
313,R_SOURCE,SOURCE,R_PPDM_MAP_TYPE,SOURCE
314,R_PPDM_METRIC_TYPE,METRIC_TYPE,R_PPDM_METRIC_CODE,METRIC_TYPE
315,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_PPDM_OBJECT_TYPE,ROW_QUALITY
316,R_SOURCE,SOURCE,R_PPDM_PROC_TYPE,SOURCE
317,R_SOURCE,SOURCE,R_PPDM_REF_VALUE_TYPE,SOURCE
318,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_PPDM_RULE_PURPOSE,ROW_QUALITY
319,R_SOURCE,SOURCE,R_PPDM_RULE_PURPOSE,SOURCE
320,R_SOURCE,SOURCE,R_PPDM_RULE_XREF_COND,SOURCE
321,R_SOURCE,SOURCE,R_PRESERVE_TYPE,SOURCE
322,R_SOURCE,SOURCE,R_PRODUCTION_METHOD,SOURCE
323,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_PROD_STRING_COMP_TYPE,ROW_QUALITY
324,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_PROD_STR_FM_STAT_TYPE,ROW_QUALITY
325,R_SOURCE,SOURCE,R_PROD_STR_FM_STAT_TYPE,SOURCE
326,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_PROJECTION_TYPE,ROW_QUALITY
327,R_SOURCE,SOURCE,R_PROJECT_COMP_REASON,SOURCE
328,R_SOURCE,SOURCE,R_PROJECT_STATUS,SOURCE
329,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_PROJECT_STATUS_TYPE,ROW_QUALITY
330,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_RATIO_CURVE_TYPE,ROW_QUALITY
331,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_RECORDER_TYPE,ROW_QUALITY
332,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_RESENT_USE_TYPE,ROW_QUALITY
333,R_SOURCE,SOURCE,R_RESENT_VOL_METHOD,SOURCE
334,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_REST_ACTIVITY,ROW_QUALITY
335,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_REVISION_METHOD,ROW_QUALITY
336,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_RIG_CLASS,ROW_QUALITY
337,R_SOURCE,SOURCE,R_RIG_CODE,SOURCE
338,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_RIG_HOOKBLOCK_TYPE,ROW_QUALITY
339,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_RIG_OVERHEAD_TYPE,ROW_QUALITY
340,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_RMII_METADATA_TYPE,ROW_QUALITY
341,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_ROAD_CONDITION,ROW_QUALITY
342,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_ROAD_DRIVING_SIDE,ROW_QUALITY
343,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_SAMPLE_COLLECTION_TYPE,ROW_QUALITY
344,R_SOURCE,SOURCE,R_SCREEN_LOCATION,SOURCE
345,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_SECTION_TYPE,ROW_QUALITY
346,R_SOURCE,SOURCE,R_SEISMIC_PATH,SOURCE
347,R_SEIS_ACTIVITY_CLASS,SEIS_ACTIVITY_CLASS,R_SEIS_ACTIVITY_TYPE,SEIS_ACTIVITY_CLASS
348,R_SOURCE,SOURCE,R_SEIS_DIMENSION,SOURCE
349,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_SEIS_FLOW_DESC_TYPE,ROW_QUALITY
350,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_SEIS_GROUP_TYPE,ROW_QUALITY
351,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_SEIS_PICK_METHOD,ROW_QUALITY
352,R_SOURCE,SOURCE,R_SEIS_PROC_COMP_TYPE,SOURCE
353,R_SOURCE,SOURCE,R_SEIS_PROC_SET_TYPE,SOURCE
354,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_SEIS_PROC_STEP_NAME,ROW_QUALITY
355,R_SOURCE,SOURCE,R_SEIS_RCVR_ARRY_TYPE,SOURCE
356,R_SOURCE,SOURCE,R_SEIS_SET_COMPONENT_TYPE,SOURCE
357,R_SOURCE,SOURCE,R_SEIS_STATION_TYPE,SOURCE
